fold_1,fold_2,fold_3,fold_4,fold_5
553137,553137,553137,553137,553137
ODZ1|10178,ODZ1|10178,PAEP|5047,OR51E2|81285,OLFM4|10562
OGDHL|55753,OGDHL|55753,PAH|5053,ORM1|5004,OR51E2|81285
OLFM4|10562,OLFM4|10562,PART1|25859,ORM2|5005,ORM1|5004
OR51E2|81285,OR51E2|81285,PAX2|5076,PABPC1L2B|645974,ORM2|5005
ORM1|5004,ORM1|5004,PCA3|50652,PAEP|5047,PABPC1L2B|645974
ORM2|5005,ORM2|5005,PCDH10|57575,PAH|5053,PAEP|5047
PABPC1L2B|645974,PABPC1L2B|645974,PCK1|5105,PART1|25859,PAH|5053
PAEP|5047,PAEP|5047,PCP4|5121,PAX2|5076,PART1|25859
PART1|25859,PART1|25859,PCSK9|255738,PCA3|50652,PAX2|5076
PAX2|5076,PAX2|5076,PDZK1|5174,PCDH10|57575,PCA3|50652
PCA3|50652,PCA3|50652,PEBP4|157310,PCK1|5105,PCDH10|57575
PCDH10|57575,PCDH10|57575,PEG10|23089,PCP4|5121,PCK1|5105
PCK1|5105,PCK1|5105,PGC|5225,PCSK9|255738,PCP4|5121
PCP4|5121,PCP4|5121,PHGR1|644844,PDZK1|5174,PCSK9|255738
PCSK9|255738,PCSK9|255738,PI15|51050,PEBP4|157310,PDZK1|5174
PDZK1|5174,PDZK1|5174,PI3|5266,PEG10|23089,PEBP4|157310
PEBP4|157310,PEBP4|157310,PIGR|5284,PGC|5225,PEG10|23089
PEG10|23089,PEG10|23089,PIP|5304,PHGR1|644844,PGC|5225
PGC|5225,PGC|5225,PITX1|5307,PI15|51050,PHGR1|644844
PHGR1|644844,PHGR1|644844,PKHD1|5314,PI3|5266,PI3|5266
PI3|5266,PI3|5266,PKLR|5313,PIGR|5284,PIGR|5284
PIGR|5284,PIGR|5284,PKP1|5317,PIP|5304,PIP|5304
PIP|5304,PIP|5304,PKP3|11187,PITX1|5307,PITX1|5307
PITX1|5307,PITX1|5307,PLA2G2A|5320,PKHD1|5314,PKHD1|5314
PKHD1|5314,PKHD1|5314,PLUNC|51297,PKLR|5313,PKLR|5313
PKLR|5313,PKLR|5313,PNCK|139728,PKP1|5317,PKP1|5317
PKP1|5317,PKP1|5317,POF1B|79983,PKP3|11187,PKP3|11187
PKP3|11187,PKP3|11187,PON3|5446,PLA2G2A|5320,PLA2G2A|5320
PLA2G2A|5320,PLA2G2A|5320,POU3F3|5455,PLA2G4F|255189,PLUNC|51297
PLA2G4F|255189,PLUNC|51297,PPAN-P2RY11|692312,PLUNC|51297,PNCK|139728
PLUNC|51297,PNCK|139728,PPP1R14D|54866,PNCK|139728,POF1B|79983
PNCK|139728,POF1B|79983,PPP1R1B|84152,POF1B|79983,PON3|5446
POF1B|79983,PON3|5446,PPP2R2C|5522,PON3|5446,POU3F3|5455
PON3|5446,POU3F3|5455,PRAC|84366,POU3F3|5455,PPAN-P2RY11|692312
POU3F3|5455,PPAN-P2RY11|692312,PRAME|23532,PPAN-P2RY11|692312,PPP1R14D|54866
PPAN-P2RY11|692312,PPP1R14D|54866,PRAP1|118471,PPP1R14D|54866,PPP1R1B|84152
PPP1R14D|54866,PPP1R1B|84152,PRKY|5616,PPP1R1B|84152,PPP2R2C|5522
PPP1R1B|84152,PPP2R2C|5522,PRODH2|58510,PPP2R2C|5522,PRAC|84366
PPP2R2C|5522,PRAC|84366,PROM1|8842,PRAC|84366,PRAME|23532
PRAC|84366,PRAME|23532,PRSS3|5646,PRAME|23532,PRAP1|118471
PRAME|23532,PRAP1|118471,PSCA|8000,PRAP1|118471,PRKY|5616
PRAP1|118471,PRKY|5616,PTPRH|5794,PRKY|5616,PRODH2|58510
PRKY|5616,PRODH2|58510,PTPRT|11122,PRODH2|58510,PROM1|8842
PRODH2|58510,PROM1|8842,QRFPR|84109,PROM1|8842,PRSS3|5646
PROM1|8842,PRSS3|5646,RAB25|57111,PRSS3|5646,PSCA|8000
PRSS3|5646,PSCA|8000,RAB3B|5865,PSCA|8000,PTPRT|11122
PSCA|8000,PTPRT|11122,REG1A|5967,PTPRT|11122,QRFPR|84109
PTPRT|11122,QRFPR|84109,REG4|83998,QRFPR|84109,RAB25|57111
QRFPR|84109,RAB25|57111,RET|5979,RAB25|57111,REG1A|5967
RAB25|57111,REG1A|5967,RIMS4|140730,REG1A|5967,REG4|83998
REG1A|5967,REG4|83998,RNF186|54546,REG4|83998,RIMS4|140730
REG4|83998,REN|5972,ROS1|6098,REN|5972,RNF186|54546
RIMS4|140730,RIMS4|140730,RPS28|6234,RET|5979,ROS1|6098
RNF186|54546,RNF186|54546,RPS4Y1|6192,RIMS4|140730,RPS28|6234
ROS1|6098,ROS1|6098,S100A14|57402,RNF186|54546,RPS4Y1|6192
RPS28|6234,RPS28|6234,S100A7|6278,ROS1|6098,S100A14|57402
RPS4Y1|6192,RPS4Y1|6192,S100P|6286,RPS28|6234,S100A7|6278
S100A14|57402,S100A14|57402,SAA1|6288,RPS4Y1|6192,S100P|6286
S100P|6286,S100A7|6278,SAA2|6289,S100A14|57402,SAA1|6288
SAA1|6288,S100P|6286,SALL1|6299,S100A7|6278,SALL1|6299
SALL1|6299,SAA1|6288,SCEL|8796,S100P|6286,SCEL|8796
SCEL|8796,SALL1|6299,SCGB1A1|7356,SAA1|6288,SCGB1A1|7356
SCGB1A1|7356,SCEL|8796,SCGB1D2|10647,SALL1|6299,SCGB1D2|10647
SCGB1D2|10647,SCGB1A1|7356,SCGB2A2|4250,SCEL|8796,SCGB2A2|4250
SCGB2A2|4250,SCGB1D2|10647,SCGB3A1|92304,SCGB1A1|7356,SCGB3A1|92304
SCGB3A1|92304,SCGB2A2|4250,SCGB3A2|117156,SCGB1D2|10647,SCGB3A2|117156
SCGB3A2|117156,SCGB3A1|92304,SCGN|10590,SCGB2A2|4250,SCGN|10590
SCGN|10590,SCGB3A2|117156,SCUBE2|57758,SCGB3A1|92304,SCUBE2|57758
SCNN1G|6340,SCGN|10590,SDR16C5|195814,SCGB3A2|117156,SDR16C5|195814
SCUBE2|57758,SCNN1G|6340,SEMA3E|9723,SCGN|10590,SEMA3E|9723
SDR16C5|195814,SCUBE2|57758,SERPINA11|256394,SCNN1G|6340,SERPINA11|256394
SEMA3E|9723,SDR16C5|195814,SERPINA3|12,SCUBE2|57758,SERPINA3|12
SERPINA11|256394,SEMA3E|9723,SERPINA5|5104,SDR16C5|195814,SERPINA5|5104
SERPINA3|12,SERPINA11|256394,SERPINA6|866,SEMA3E|9723,SERPINA6|866
SERPINA5|5104,SERPINA3|12,SERPINB5|5268,SERPINA11|256394,SERPINB5|5268
SERPINA6|866,SERPINA5|5104,SFRP1|6422,SERPINA3|12,SFRP1|6422
SERPINB5|5268,SERPINA6|866,SFRP2|6423,SERPINA5|5104,SFRP2|6423
SFRP1|6422,SERPINB5|5268,SFTA2|389376,SERPINA6|866,SFTA2|389376
SFRP2|6423,SFRP1|6422,SFTA3|253970,SERPINB5|5268,SFTA3|253970
SFTA2|389376,SFTA2|389376,SFTPA1|653509,SFRP1|6422,SFTPA1|653509
SFTA3|253970,SFTA3|253970,SFTPA2|729238,SFRP2|6423,SFTPA2|729238
SFTPA1|653509,SFTPA1|653509,SFTPB|6439,SFTA2|389376,SFTPB|6439
SFTPA2|729238,SFTPA2|729238,SFTPC|6440,SFTA3|253970,SFTPC|6440
SFTPB|6439,SFTPB|6439,SFTPD|6441,SFTPA1|653509,SFTPD|6441
SFTPC|6440,SFTPC|6440,SHISA9|729993,SFTPA2|729238,SHISA9|729993
SFTPD|6441,SFTPD|6441,SLC10A2|6555,SFTPB|6439,SLC10A2|6555
SHISA9|729993,SHISA9|729993,SLC13A1|6561,SFTPC|6440,SLC13A1|6561
SLC10A2|6555,SLC10A2|6555,SLC16A12|387700,SFTPD|6441,SLC16A12|387700
SLC13A1|6561,SLC13A1|6561,SLC17A1|6568,SHISA9|729993,SLC17A1|6568
SLC16A12|387700,SLC16A12|387700,SLC17A3|10786,SLC10A2|6555,SLC17A3|10786
SLC17A1|6568,SLC17A1|6568,SLC17A4|10050,SLC13A1|6561,SLC17A4|10050
SLC17A3|10786,SLC17A3|10786,SLC22A11|55867,SLC16A12|387700,SLC22A11|55867
SLC17A4|10050,SLC17A4|10050,SLC22A12|116085,SLC17A1|6568,SLC22A12|116085
SLC22A11|55867,SLC22A11|55867,SLC22A2|6582,SLC17A3|10786,SLC22A2|6582
SLC22A12|116085,SLC22A12|116085,SLC26A3|1811,SLC17A4|10050,SLC26A3|1811
SLC22A2|6582,SLC22A2|6582,SLC26A9|115019,SLC22A11|55867,SLC26A9|115019
SLC26A3|1811,SLC26A3|1811,SLC28A1|9154,SLC22A12|116085,SLC28A1|9154
SLC26A9|115019,SLC26A9|115019,SLC2A2|6514,SLC22A2|6582,SLC2A2|6514
SLC28A1|9154,SLC28A1|9154,SLC30A8|169026,SLC26A3|1811,SLC34A2|10568
SLC2A2|6514,SLC2A2|6514,SLC34A2|10568,SLC26A9|115019,SLC39A5|283375
SLC30A8|169026,SLC30A8|169026,SLC39A5|283375,SLC28A1|9154,SLC3A1|6519
SLC34A2|10568,SLC34A2|10568,SLC3A1|6519,SLC2A2|6514,SLC45A3|85414
SLC39A5|283375,SLC39A5|283375,SLC45A3|85414,SLC34A2|10568,SLC4A4|8671
SLC3A1|6519,SLC3A1|6519,SLC4A4|8671,SLC39A5|283375,SLC5A10|125206
SLC45A3|85414,SLC45A3|85414,SLC5A10|125206,SLC3A1|6519,SLC5A12|159963
SLC4A4|8671,SLC4A4|8671,SLC5A12|159963,SLC45A3|85414,SLC5A1|6523
SLC5A10|125206,SLC5A10|125206,SLC5A1|6523,SLC4A4|8671,SLC5A8|160728
SLC5A12|159963,SLC5A12|159963,SLC5A8|160728,SLC5A10|125206,SLC6A13|6540
SLC5A1|6523,SLC5A1|6523,SLC6A13|6540,SLC5A12|159963,SLC6A14|11254
SLC5A8|160728,SLC5A8|160728,SLC6A14|11254,SLC5A1|6523,SLC6A19|340024
SLC6A13|6540,SLC6A13|6540,SLC6A19|340024,SLC5A8|160728,SLC6A3|6531
SLC6A14|11254,SLC6A14|11254,SLC6A3|6531,SLC6A13|6540,SLC9A2|6549
SLC6A19|340024,SLC6A19|340024,SLC9A2|6549,SLC6A14|11254,SLCO4C1|353189
SLC6A3|6531,SLC6A3|6531,SLCO4C1|353189,SLC6A19|340024,SLITRK6|84189
SLC9A2|6549,SLC9A2|6549,SLITRK6|84189,SLC6A3|6531,SLPI|6590
SLCO4C1|353189,SLCO4C1|353189,SLPI|6590,SLC9A2|6549,SOX10|6663
SLITRK6|84189,SLITRK6|84189,SOX10|6663,SLCO4C1|353189,SOX2|6657
SLPI|6590,SLPI|6590,SOX2|6657,SLITRK6|84189,SPAG6|9576
SOX10|6663,SOX10|6663,SPAG6|9576,SLPI|6590,SPDEF|25803
SOX2|6657,SOX2|6657,SPDEF|25803,SOX10|6663,SPINK1|6690
SPDEF|25803,SPDEF|25803,SPINK1|6690,SOX2|6657,SPOCK3|50859
SPINK1|6690,SPINK1|6690,SPOCK3|50859,SPDEF|25803,ST6GALNAC1|55808
SPOCK3|50859,SPOCK3|50859,ST6GALNAC1|55808,SPINK1|6690,STAC2|342667
ST6GALNAC1|55808,ST6GALNAC1|55808,STAC2|342667,SPOCK3|50859,SULT1C2|6819
STAC2|342667,STAC2|342667,SULT1C2|6819,ST6GALNAC1|55808,SYT13|57586
SULT1C2|6819,SULT1C2|6819,SYT13|57586,STAC2|342667,SYT9|143425
SYT13|57586,SYT13|57586,SYT9|143425,SYT13|57586,TARP|445347
SYT9|143425,SYT9|143425,TARP|445347,SYT9|143425,TCF21|6943
TARP|445347,TARP|445347,TCF21|6943,TARP|445347,TCN1|6947
TCF21|6943,TCF21|6943,TCN1|6947,TCF21|6943,TFAP2B|7021
TCN1|6947,TCN1|6947,TDRD1|56165,TCN1|6947,TFAP2C|7022
TFAP2B|7021,TFAP2B|7021,TFAP2B|7021,TFAP2B|7021,TFF1|7031
TFAP2C|7022,TFAP2C|7022,TFAP2C|7022,TFAP2C|7022,TFF3|7033
TFF1|7031,TFF1|7031,TFF1|7031,TFF1|7031,TF|7018
TFF3|7033,TFF3|7033,TFF3|7033,TFF3|7033,TGM4|7047
TFPI2|7980,TGM4|7047,TFPI2|7980,TGM4|7047,THBS4|7060
TGM4|7047,THRSP|7069,TGM4|7047,THRSP|7069,THRSP|7069
THRSP|7069,TINAG|27283,THRSP|7069,TINAG|27283,TINAG|27283
TINAG|27283,TM4SF5|9032,TINAG|27283,TM4SF5|9032,TM4SF5|9032
TM4SF5|9032,TMC5|79838,TM4SF5|9032,TMC5|79838,TMC5|79838
TMC5|79838,TMEFF2|23671,TMC5|79838,TMEFF2|23671,TMEFF2|23671
TMEFF2|23671,TMPRSS2|7113,TMEFF2|23671,TMPRSS2|7113,TMPRSS2|7113
TMPRSS2|7113,TMPRSS4|56649,TMPRSS2|7113,TMPRSS4|56649,TMPRSS4|56649
TMPRSS4|56649,TNNT1|7138,TMPRSS4|56649,TNNT1|7138,TNNT1|7138
TNNT1|7138,TNS4|84951,TNNT1|7138,TNS4|84951,TNS4|84951
TNS4|84951,TRIM15|89870,TNS4|84951,TRIM15|89870,TRIM15|89870
TRIM15|89870,TRIM29|23650,TRIM15|89870,TRIM29|23650,TRIM29|23650
TRIM29|23650,TRIM31|11074,TRIM29|23650,TRIM31|11074,TRIM31|11074
TRIM31|11074,TRIM55|84675,TRIM31|11074,TRIM55|84675,TRIM55|84675
TRIM55|84675,TRPM8|79054,TRIM55|84675,TRPM8|79054,TRPM8|79054
TRPM8|79054,TRPV6|55503,TRPM8|79054,TRPV6|55503,TRPV6|55503
TRPV6|55503,TSIX|9383,TRPV6|55503,TSIX|9383,TSIX|9383
TSIX|9383,TSPAN8|7103,TSIX|9383,TSPAN8|7103,TSPAN8|7103
TSPAN8|7103,TTTY15|64595,TSPAN8|7103,TTTY15|64595,TTTY15|64595
TTTY15|64595,UGT1A6|54578,TTTY15|64595,UGT1A6|54578,UGT1A6|54578
UGT1A6|54578,UGT1A9|54600,UGT1A6|54578,UGT1A9|54600,UGT1A9|54600
UGT1A9|54600,UGT2A3|79799,UGT1A9|54600,UGT2A3|79799,UGT2A3|79799
UGT2A3|79799,UGT2B11|10720,UGT2A3|79799,UGT2B11|10720,UGT2B11|10720
UGT2B7|7364,UGT2B7|7364,UGT2B7|7364,UGT2B7|7364,UGT2B7|7364
UGT3A1|133688,UGT3A1|133688,UGT3A1|133688,UGT3A1|133688,UGT3A1|133688
UGT8|7368,UGT8|7368,UGT8|7368,UGT8|7368,UGT8|7368
UPK3A|7380,UPK3A|7380,UPK3A|7380,UPK3A|7380,UPK3A|7380
USH1C|10083,USH1C|10083,USH1C|10083,USH1C|10083,USH1C|10083
USP9Y|8287,USP9Y|8287,USP9Y|8287,USP9Y|8287,USP9Y|8287
UTY|7404,UTY|7404,UTY|7404,UTY|7404,UTY|7404
VIL1|7429,VIL1|7429,VIL1|7429,VIL1|7429,VIL1|7429
VSIG2|23584,VSIG2|23584,VSIG2|23584,VSIG2|23584,VSIG2|23584
VSTM2A|222008,VSTM2A|222008,VSTM2A|222008,VSTM2A|222008,VSTM2A|222008
VSTM2L|128434,VSTM2L|128434,VSTM2L|128434,VSTM2L|128434,VSTM2L|128434
VTCN1|79679,VTCN1|79679,VTCN1|79679,VTCN1|79679,VTCN1|79679
WDR72|256764,WDR72|256764,WDR72|256764,WDR72|256764,WDR72|256764
WIF1|11197,WIF1|11197,WIF1|11197,WIF1|11197,WIF1|11197
WNK2|65268,WNK2|65268,WNK2|65268,WNK2|65268,WNK2|65268
WNK4|65266,WNK4|65266,WNK4|65266,WNK4|65266,WNK4|65266
WNT7B|7477,WNT7B|7477,WNT7B|7477,WNT7B|7477,WNT7B|7477
XAGE1D|9503,XAGE1D|9503,XAGE1D|9503,XAGE1D|9503,XAGE1D|9503
XIST|7503,XIST|7503,XIST|7503,XIST|7503,XIST|7503
ZFY|7544,ZFY|7544,ZFY|7544,ZFY|7544,ZFY|7544
ZG16B|124220,ZG16B|124220,ZG16B|124220,ZG16B|124220,ZG16B|124220
